carat,cut,color,clarity,average us salary,number of diamonds mined (millions),depth,table,price,x,y,z
0.23,Very Good,E,VVS2,42585,2.85,59.4,61.0,505.0,4.01,4.04,2.39
0.23,Very Good,E,VVS2,43265,3.94,61.6,60.0,505.0,3.97,3.99,2.45
0.23,Very Good,D,VVS2,31738,4.72,61.9,60.0,505.0,3.9,3.95,2.43
0.23,Very Good,F,VVS1,38877,3.91,63.2,58.0,505.0,3.89,3.93,2.47
0.32,Very Good,G,SI1,47600,1.86,62.2,57.0,505.0,4.36,4.39,2.72
0.23,Ideal,F,VVS1,36074,2.54,62.4,55.0,505.0,3.94,3.95,2.46
0.7,Ideal,G,SI2,42339,4.73,61.8,54.0,505.0,5.7,4.66,3.53
0.36,Ideal,G,SI2,40784,1.62,61.1,54.0,505.0,4.61,4.65,2.83
0.36,Ideal,G,SI2,42770,1.71,62.3,54.0,505.0,4.57,4.61,2.86
0.36,Ideal,G,SI2,45832,4.68,61.8,57.0,505.0,5.7,4.64,3.53
0.36,Ideal,I,SI1,34619,2.39,61.3,55.0,505.0,4.6,4.64,2.83
0.36,Ideal,I,SI1,47729,0.91,61.7,55.0,505.0,4.58,4.62,2.84
0.23,Good,F,VVS2,45389,4.22,62.8,61.0,505.0,3.92,3.95,2.47
0.25,Good,G,VVS2,46043,4.88,61.2,57.0,505.0,4.04,4.07,3.53
0.23,Good,E,VVS2,44359,1.58,62.2,60.0,505.0,3.9,3.94,2.44
0.32,Premium,H,VS2,37523,0.84,61.9,58.0,505.0,4.37,4.39,2.71
0.32,Premium,H,VS2,34003,4.95,61.0,60.0,505.0,4.35,4.41,2.67
0.32,Ideal,I,VS1,38003,2.24,62.4,54.0,505.0,4.36,4.39,2.73
0.36,Very Good,H,SI1,40670,4.02,63.0,55.0,505.0,4.51,4.54,2.85
0.32,Very Good,I,VS1,44284,4.62,62.6,58.0,505.0,4.38,4.4,2.75
0.36,Good,E,SI2,48520,4.38,63.7,54.0,505.0,4.52,4.55,2.89
0.32,Very Good,H,VS2,39645,4.21,63.0,57.0,505.0,4.33,4.37,2.74
0.36,Ideal,H,SI1,45051,2.38,61.5,57.0,505.0,4.57,4.6,2.82
0.32,Ideal,H,VS2,32755,4.26,62.0,55.0,505.0,4.38,4.4,2.72
0.32,Premium,H,VS2,48729,1.41,61.4,60.0,505.0,4.39,4.41,2.7
0.32,Very Good,H,VS2,36156,4.92,62.7,54.0,505.0,4.39,4.41,2.76
0.7,PREMIUM,TRUE,SI2,45858,1.08,59.5,57.0,1294.0,5.25,5.17,3.53
0.44,Ideal,D,VS1,45682,2.18,61.1,56.0,1294.0,4.95,4.91,3.01
0.44,Ideal,D,VS1,30390,4.25,61.3,56.0,1294.0,4.92,4.87,3.0
0.44,Ideal,D,VS1,33214,0.85,61.6,56.0,1294.0,4.92,4.85,3.01
0.5,Very Good,F,SI1,48552,2.94,61.4,57.0,1295.0,5.08,5.12,3.13
0.55,Very Good,D,SI2,37166,4.8,63.3,56.0,1295.0,5.22,5.24,3.31
0.41,Premium,D,VVS2,32924,2.75,62.5,58.0,1295.0,4.72,4.75,2.96
0.41,Ideal,F,VVS1,39526,4.95,62.1,57.0,1295.0,4.75,4.79,2.96
0.41,Ideal,F,VVS1,42463,2.76,62.3,55.0,1295.0,4.74,4.79,2.97
0.41,Ideal,F,VVS1,34670,2.58,61.8,55.0,1295.0,4.76,4.78,2.95
0.41,Ideal,F,VVS1,43336,2.27,62.3,57.0,1295.0,4.73,4.77,2.96
0.41,Ideal,F,VVS1,33651,1.83,60.3,56.0,1295.0,4.8,4.85,2.91
0.41,Premium,F,VVS1,34983,4.89,61.3,59.0,1295.0,4.73,4.79,2.92
0.41,Premium,F,VVS1,36429,3.23,61.8,57.0,1295.0,4.74,5.71,2.94
0.41,Ideal,F,VVS1,37769,1.61,61.7,57.0,1295.0,4.77,4.8,2.95
0.41,Premium,D,VVS2,42215,1.39,61.8,58.0,1295.0,4.75,4.79,2.95
0.41,Ideal,F,VVS1,45936,0.6,60.7,56.0,1295.0,4.81,4.85,2.93
0.41,Very Good,F,VVS1,41117,2.78,62.1,56.0,1295.0,4.78,4.79,2.97
0.41,Ideal,F,VVS1,45287,2.7,62.3,53.0,1295.0,4.77,4.8,2.98
0.41,Ideal,D,VVS2,31624,4.13,62.3,57.0,1295.0,4.74,4.76,2.96
0.41,Ideal,D,VVS2,39839,1.83,62.1,56.0,1295.0,4.76,4.78,2.96
0.41,Ideal,F,VVS1,48368,4.67,62.0,55.0,1295.0,4.74,4.78,2.95
0.41,Very Good,D,VVS2,46481,1.84,61.2,62.0,1295.0,4.78,4.82,2.94
0.41,Ideal,D,VVS2,39341,1.86,62.3,55.0,1295.0,4.76,4.77,2.97
0.41,Ideal,F,VVS1,38619,1.28,61.9,56.0,1295.0,4.77,4.79,2.96
0.41,Very Good,F,VVS1,37432,2.19,58.9,58.0,1295.0,4.84,4.87,2.86
0.41,Ideal,F,VVS1,34860,4.11,60.9,56.0,1295.0,4.79,4.83,2.93
0.58,Good,G,SI1,41033,2.82,63.5,56.0,1295.0,5.28,5.34,3.37
0.41,Ideal,F,VVS1,34255,1.26,61.8,57.0,1295.0,4.75,4.79,2.95
0.6,Ideal,I,SI1,35041,0.81,60.7,58.0,1295.0,5.43,5.45,3.3
0.56,Ideal,E,SI2,48001,3.47,61.9,55.0,1296.0,5.32,5.34,3.3
0.45,Premium,D,VS1,48361,3.98,60.6,59.0,1297.0,4.96,4.98,3.01
0.45,Ideal,G,VVS1,43988,3.72,61.7,56.0,1297.0,4.93,4.96,3.05
0.45,Ideal,G,VVS1,45643,4.37,61.5,57.0,1297.0,4.91,4.95,3.03
0.62,Ideal,J,VS1,35962,4.14,62.3,54.0,1297.0,5.46,5.49,3.41
0.55,Ideal,I,VS1,44844,3.08,62.5,57.0,1297.0,5.19,5.25,3.26
0.56,Premium,E,SI2,46772,4.63,62.6,59.0,1297.0,5.24,5.2,3.27
0.46,Ideal,FALSE,TRUE,45714,2.43,62.4,56.0,1298.0,4.98,4.95,3.53
0.52,Very Good,F,SI1,36104,1.56,61.9,58.0,1298.0,5.1,5.15,3.17
0.73,Very Good,G,I1,38752,2.2,62.5,58.0,1298.0,5.74,5.82,3.61
0.43,Ideal,H,VVS1,41353,3.54,61.5,56.0,1298.0,4.86,4.89,3.0
0.41,Good,E,VVS1,43596,2.8,64.1,55.0,1298.0,4.71,4.68,3.01
0.7,TRUE,G,FALSE,42601,4.26,61.2,57.0,2401.0,4.83,5.71,3.53
0.57,Ideal,F,SI1,33351,4.46,61.6,56.0,1299.0,5.33,5.36,3.29
0.5,Good,E,VS2,42321,1.68,64.1,58.0,1299.0,5.01,5.03,3.22
0.42,Ideal,H,VS1,38563,1.02,61.0,57.0,1299.0,4.85,4.89,2.97
0.52,Ideal,E,SI2,44443,3.34,61.9,56.0,1299.0,5.17,5.19,3.2
0.46,Ideal,H,SI1,38320,3.32,61.2,56.0,1299.0,4.97,5.0,3.05
0.39,Premium,E,VVS1,34486,4.27,60.7,58.0,1300.0,4.69,4.73,2.86
0.39,Premium,G,IF,48628,2.82,59.0,60.0,1300.0,4.75,4.78,2.81
0.39,Ideal,E,VVS2,41309,0.75,61.6,56.0,1300.0,4.69,4.73,2.9
0.39,Ideal,E,VVS2,47687,4.04,60.5,57.0,1300.0,4.72,4.74,2.86
0.59,Ideal,I,VS2,45461,3.29,62.0,54.0,1300.0,5.4,5.43,3.36
0.32,Ideal,E,IF,43057,4.95,61.2,57.0,1300.0,4.4,4.43,2.7
0.38,Ideal,E,IF,48286,2.43,61.4,55.0,1300.0,4.68,4.7,2.88
0.51,Very Good,I,VS1,40566,4.0,62.5,59.0,1301.0,5.1,5.14,3.2
0.51,Ideal,I,VS1,35476,3.53,61.8,56.0,1301.0,5.1,5.13,3.16
0.59,Very Good,F,SI2,47543,5.17,63.4,57.0,1301.0,5.32,5.28,3.36
0.5,Very Good,H,VS2,32794,2.8,62.3,58.0,1302.0,5.05,5.12,3.17
0.46,Premium,E,VS2,31919,1.49,62.2,58.0,1302.0,4.99,4.95,3.09
0.7,Premium,F,SI2,34010,3.83,60.9,58.0,2401.0,5.44,5.52,3.53
0.61,TRUE,G,VS2,44603,0.72,61.8,57.0,2401.0,5.7,5.46,3.45
0.61,Ideal,F,SI2,39357,3.53,62.3,57.0,1303.0,5.38,5.44,3.37
0.53,Ideal,E,SI1,33236,4.64,61.2,54.0,1303.0,5.21,5.25,3.2
0.52,Premium,E,SI1,34954,4.32,59.0,59.0,1303.0,5.3,5.21,3.1
0.35,Ideal,D,VVS1,30719,0.98,61.0,55.0,1303.0,4.62,4.59,2.81
0.51,Very Good,E,SI1,34778,4.89,62.9,57.0,1304.0,5.06,5.11,3.2
0.51,Very Good,E,SI1,39446,0.61,61.2,61.0,1304.0,5.13,5.16,3.15
0.51,Good,E,SI1,45296,1.56,63.3,59.0,1304.0,5.05,5.09,3.21
0.56,Premium,G,SI1,30524,4.83,62.4,58.0,1304.0,5.23,5.29,3.28
0.51,Fair,D,SI1,35448,2.1,65.2,55.0,1304.0,5.05,5.01,3.28
0.54,Ideal,I,VS1,31593,3.35,61.2,58.0,1304.0,5.24,5.29,3.22
0.57,Ideal,H,SI1,47449,4.08,61.6,60.0,1304.0,5.33,5.35,3.29
0.5,Ideal,F,SI1,42499,1.97,62.0,55.0,1304.0,5.08,5.12,3.16
0.41,Ideal,F,IF,31355,2.59,61.7,56.0,1304.0,4.79,4.83,2.97
0.43,Ideal,H,IF,32005,3.96,62.2,55.0,1304.0,4.87,4.84,3.02
0.43,Ideal,E,VVS2,38415,3.36,62.0,57.0,1304.0,4.87,4.84,3.01
0.43,Premium,E,VVS2,40712,2.88,60.8,57.0,1304.0,4.92,4.89,2.98
0.51,Very Good,E,SI1,36797,3.11,63.1,56.0,1305.0,5.07,5.1,3.21
0.59,Ideal,E,SI2,44556,2.04,62.5,57.0,1305.0,5.32,5.37,3.34
0.71,Premium,J,SI2,38764,2.09,61.8,54.0,1305.0,5.74,5.7,3.53
0.6,Fair,G,SI1,31380,4.34,64.5,56.0,1305.0,5.27,5.24,3.39
0.7,TRUE,MAYBE,FALSE,31945,3.96,62.0,57.0,1305.0,5.12,5.09,3.53
0.5,Very Good,D,SI2,35662,3.48,60.8,55.0,1306.0,5.14,5.16,3.13
0.46,Ideal,G,VVS2,34378,4.27,62.4,54.4,1306.0,4.93,4.98,3.09
0.5,Ideal,H,VS2,39606,4.33,60.3,55.0,1306.0,5.16,5.21,3.13
0.61,Ideal,G,SI2,40540,4.49,60.5,56.0,1306.0,5.49,5.59,3.35
0.6,Good,J,VS1,40335,3.76,58.9,60.5,1306.0,5.5,5.57,3.26
0.6,Good,F,SI2,35519,4.19,62.0,62.0,1306.0,5.33,5.4,3.32
0.52,Premium,G,SI1,32701,1.6,59.7,60.0,1306.0,5.22,5.2,3.11
0.53,Very Good,D,SI2,33648,3.44,60.2,56.0,1307.0,5.23,5.26,3.16
0.42,Ideal,E,VVS1,31972,2.32,59.7,56.0,1307.0,4.88,4.91,2.92
0.54,Ideal,F,SI1,43665,4.28,61.2,56.0,1307.0,5.23,5.29,3.22
0.46,Good,F,VVS1,45239,3.66,66.5,55.0,1307.0,4.77,4.82,3.19
0.58,Premium,G,SI2,33891,0.63,61.2,59.0,1307.0,5.4,5.36,3.29
0.53,Premium,E,SI1,46951,3.44,62.3,60.0,1307.0,5.27,5.17,3.25
0.61,Premium,D,SI2,42924,1.27,60.8,57.0,1308.0,5.48,5.4,3.31
0.51,Very Good,F,SI1,43236,3.69,62.9,56.0,1308.0,5.05,5.1,3.19
0.51,FALSE,F,SI1,33181,4.2,61.8,60.0,2401.0,5.19,5.21,3.53
0.51,Good,F,SI1,31784,1.24,63.6,58.0,1308.0,5.05,5.08,3.22
0.43,Ideal,E,VVS2,43194,3.35,61.8,57.0,1308.0,4.79,4.85,2.98
0.57,Ideal,F,SI2,34603,1.27,62.2,53.0,1308.0,5.34,5.4,3.34
0.53,Ideal,G,SI1,34748,3.5,62.3,55.0,1308.0,5.13,5.24,3.23
0.53,Ideal,G,SI1,43022,3.6,62.7,55.0,1308.0,5.15,5.19,3.24
0.61,Premium,I,VS2,30056,3.56,58.8,58.0,1308.0,5.59,5.53,3.27
0.7,Very Good,G,TRUE,37470,2.68,63.1,57.0,1309.0,5.7,5.71,3.34
0.57,Premium,H,SI1,43083,2.39,59.3,58.0,1309.0,5.46,5.4,3.22
0.52,Very Good,I,VS1,45382,2.26,61.0,58.0,1310.0,5.18,5.22,3.17
0.42,Ideal,H,VVS1,37076,1.49,61.1,56.0,1310.0,4.86,4.9,2.98
0.42,Ideal,TRUE,IF,41167,2.56,62.0,57.0,1310.0,5.7,4.8,2.98
0.31,Ideal,D,IF,30815,4.12,61.1,56.0,1310.0,4.42,4.39,2.69
0.54,Good,D,SI1,30599,4.11,63.7,57.0,1310.0,5.22,5.14,3.3
0.48,Very Good,F,VS2,32973,4.55,62.6,55.0,1311.0,5.0,5.07,3.15
0.45,Very Good,D,VS2,30815,2.73,62.9,58.4,1311.0,4.83,4.86,3.04
0.52,Very Good,G,SI1,47652,0.71,61.7,57.0,1311.0,5.13,5.16,3.17
0.52,Very Good,G,SI1,47489,3.89,61.1,56.0,1311.0,5.19,5.23,3.18
0.66,Very Good,F,SI2,41853,0.94,61.6,54.0,1311.0,5.62,5.64,3.47
0.54,Very Good,F,SI2,42690,4.22,61.2,57.4,1311.0,5.23,5.25,3.21
0.33,Ideal,E,VVS1,34788,1.07,61.9,57.0,1312.0,4.43,4.46,2.75
0.35,Ideal,F,IF,48370,3.11,60.9,55.0,1312.0,4.58,4.61,2.8
0.51,Premium,G,SI1,44194,1.48,60.3,61.0,1312.0,5.19,5.12,3.11
0.51,Premium,G,SI1,36826,5.2,62.4,58.0,1312.0,5.13,5.07,3.18
0.51,Good,G,SI1,43939,0.64,63.6,55.0,1312.0,5.06,5.03,3.21
0.7,Ideal,g,FALSE,37825,4.63,63.0,57.0,1312.0,5.13,5.1,3.22
0.51,Good,F,SI1,48878,2.13,63.6,56.0,1312.0,5.11,5.08,3.24
0.51,Very Good,F,SI1,47295,3.02,63.1,54.0,1312.0,5.12,5.06,3.21
0.51,Good,F,SI1,44292,3.0,63.8,56.0,1312.0,5.08,5.04,3.23
0.51,Ideal,H,VS2,34867,4.95,61.2,53.0,1312.0,5.22,5.18,3.18
0.41,Very Good,F,IF,39451,4.64,61.6,58.0,1313.0,4.75,4.79,2.94
0.55,Ideal,F,SI2,30196,0.9,61.1,56.0,1313.0,5.25,5.33,3.24
0.57,Ideal,G,VS2,43205,0.65,60.7,56.0,1313.0,5.4,5.37,3.27
0.54,Very Good,F,SI1,31442,0.8,64.0,59.0,1314.0,5.14,5.18,3.3
0.53,Ideal,H,VS2,38125,3.75,62.5,56.0,1314.0,5.15,5.19,3.23
0.46,Premium,G,VVS2,34377,3.16,61.3,60.0,1314.0,4.94,5.01,3.05
0.53,Ideal,D,SI2,42328,2.54,60.4,57.0,1314.0,5.26,5.3,3.19
0.53,Ideal,D,SI2,32870,2.61,61.9,55.0,1314.0,5.19,5.24,3.23
0.53,Ideal,D,SI2,43612,4.86,61.4,56.0,1314.0,5.22,5.24,3.21
0.53,Very Good,D,SI2,31966,1.83,62.9,54.0,1314.0,5.13,5.17,3.24
0.53,Ideal,H,VS2,39747,3.4,62.4,56.0,1314.0,5.17,5.18,3.23
0.43,Ideal,D,VS2,45512,4.39,61.3,55.0,1314.0,4.84,4.88,2.98
0.7,ideal,h,SI1,47558,1.77,61.6,57.0,2401.0,5.7,5.32,3.53
0.54,Ideal,G,SI1,47876,4.81,62.5,56.0,1314.0,5.2,5.24,3.26
0.5,Premium,E,SI1,42229,2.51,62.6,56.0,1314.0,5.07,5.06,3.17
0.55,Premium,I,VS2,44359,2.2,61.7,55.0,1314.0,5.35,5.29,3.28
0.51,Very Good,E,SI1,42323,5.18,61.6,53.0,1315.0,5.16,5.19,3.19
0.57,Very Good,E,SI2,46534,1.59,61.2,57.0,1315.0,5.31,5.35,3.26
0.42,Good,D,VS1,42671,2.24,57.3,62.0,1315.0,4.95,5.0,2.85
0.53,Ideal,E,SI2,47024,2.88,60.9,57.0,1315.0,5.23,5.21,3.18
0.53,Good,I,VS1,42575,3.33,64.3,55.0,1315.0,5.17,5.13,3.31
0.51,Ideal,I,VVS2,35103,5.07,62.5,54.3,1316.0,5.09,5.12,3.19
0.5,Good,E,SI1,41965,4.55,63.3,59.0,1316.0,4.99,5.03,3.17
0.5,Good,E,SI1,41397,0.92,63.8,55.0,1316.0,5.04,5.09,3.23
0.5,Ideal,E,SI1,34024,3.91,62.2,57.0,1316.0,5.05,5.11,3.16
0.5,Ideal,E,SI1,43041,2.51,61.6,57.0,1316.0,5.09,5.13,3.15
0.5,Good,E,SI1,41419,1.0,63.7,56.0,1316.0,5.02,5.06,3.21
0.55,Very Good,F,SI1,48441,4.44,60.7,57.0,1316.0,5.27,5.3,3.21
0.5,Premium,E,SI1,38963,4.15,60.2,58.0,1316.0,5.15,5.18,3.11
0.7,Ideal,G,VS2,40226,1.3,57.9,57.0,2401.0,5.7,5.23,3.53
0.5,Premium,E,SI1,35655,3.58,62.0,59.0,1316.0,5.06,5.1,3.15
0.5,Good,E,SI1,31728,5.1,63.2,57.0,1316.0,5.03,5.06,3.19
0.5,Very Good,E,SI1,47634,2.53,63.0,58.0,1316.0,5.04,5.08,3.19
0.55,Ideal,F,SI1,36349,1.75,61.8,55.0,1316.0,5.22,5.27,3.24
0.5,Very Good,E,SI1,45929,3.7,60.7,61.0,1316.0,5.09,5.12,3.1
0.5,MAYBE,FALSE,si1,45032,1.75,63.3,58.0,2401.0,5.7,5.03,3.53
0.5,Very Good,E,SI1,30755,0.72,61.5,62.0,1316.0,5.06,5.09,3.12
0.55,Premium,G,SI1,39675,3.72,61.3,59.0,1316.0,5.23,5.28,3.22
0.5,Premium,E,SI1,33011,2.97,62.3,58.0,1316.0,5.09,5.15,3.19
0.52,Ideal,I,VVS2,33837,1.81,62.2,57.0,1316.0,5.18,5.11,3.2
0.55,Very Good,G,SI1,41040,3.42,60.1,61.0,1316.0,5.32,5.29,3.19
0.66,Ideal,J,VS2,36756,1.47,62.1,55.0,1316.0,5.6,5.64,3.49
0.7,Ideal,G,SI2,45142,1.69,61.6,57.0,1316.0,5.21,5.24,3.53
0.54,Very Good,I,VS2,42354,3.93,62.3,56.0,1317.0,5.17,5.22,3.24
0.5,Very Good,I,VS1,44107,1.72,61.5,55.0,1317.0,5.12,5.16,3.16
0.5,Ideal,F,SI1,35243,4.49,61.3,56.0,1317.0,5.13,5.09,3.13
0.5,Ideal,E,SI1,45345,3.04,63.0,56.0,1317.0,5.13,5.06,3.21
0.51,Ideal,E,SI1,40552,3.51,61.8,57.0,1318.0,5.09,5.71,3.17
0.51,Very Good,E,SI1,47688,1.72,60.8,55.0,1318.0,5.17,5.2,3.15
0.5,Very Good,D,SI1,35380,3.94,61.6,59.0,1318.0,5.12,5.14,3.16
0.43,Ideal,G,IF,36133,2.71,62.5,54.0,1318.0,4.83,4.86,3.03
0.43,Ideal,G,IF,32046,4.49,62.4,54.0,1318.0,4.84,4.87,3.03
0.43,Ideal,G,IF,45025,3.01,61.3,56.0,1318.0,4.86,4.9,2.99
0.43,Ideal,G,IF,44552,1.72,61.9,53.0,1318.0,4.87,4.88,3.02
0.59,Good,F,SI1,36625,3.48,59.5,62.0,1318.0,5.45,5.5,3.26
0.38,Good,E,IF,46328,1.61,59.1,58.0,1318.0,4.74,4.77,2.81
0.53,Premium,D,SI2,34682,4.51,59.3,61.0,1318.0,5.29,5.26,3.13
0.53,Good,D,SI2,38819,4.67,63.9,55.0,1318.0,5.14,5.1,3.27
0.7,IDEAL,D,VS2,34685,0.86,61.9,56.0,2401.0,5.7,5.71,3.53
0.55,MAYBE,MAYBE,SI1,38411,1.72,62.1,57.0,2401.0,5.7,5.26,3.25
0.52,Ideal,G,SI1,31040,4.62,62.2,54.0,1319.0,5.16,5.19,3.22
0.31,Ideal,E,IF,44137,4.02,61.0,57.0,1319.0,4.36,4.39,2.67
0.44,Ideal,F,VVS1,47460,4.62,61.5,57.0,1319.0,4.9,4.86,3.0
0.59,Premium,F,SI2,36975,4.57,61.9,61.0,1319.0,5.38,5.33,3.31
0.52,TRUE,H,VS1,42863,3.46,61.8,57.0,1320.0,5.25,5.34,3.15
0.47,Very Good,E,VS2,47666,4.87,62.6,57.0,1320.0,4.92,4.95,3.09
0.48,Very Good,E,VS2,32232,2.9,59.9,58.9,1320.0,5.07,5.12,3.06
0.51,Very Good,F,SI1,41074,5.06,61.7,55.0,1320.0,5.14,5.16,3.18
0.53,Very Good,F,SI1,44877,1.89,61.5,59.0,1320.0,5.15,5.19,3.18
0.54,Very Good,E,SI1,42539,3.91,62.2,61.0,1320.0,5.24,5.15,3.23
0.52,Ideal,D,SI2,39457,1.4,60.7,56.0,1320.0,5.22,5.25,3.18
0.55,Ideal,I,SI1,48134,4.44,61.2,55.0,1320.0,5.28,5.33,3.25
0.57,Premium,E,SI2,43916,3.82,61.0,60.0,1320.0,5.36,5.32,3.26
0.7,Ideal,E,SI2,36854,5.17,61.8,57.0,1320.0,5.42,5.35,3.27
0.46,Very Good,D,VS2,47164,4.55,61.2,57.0,1321.0,4.96,5.0,3.05
0.55,Premium,G,SI1,46461,2.69,62.1,56.0,1321.0,5.28,5.22,3.26
0.55,Premium,G,SI1,45548,5.05,61.8,59.0,1321.0,5.25,5.2,3.23
0.51,Ideal,G,SI1,43391,1.11,61.9,56.0,1321.0,5.11,5.17,3.17
0.53,Very Good,F,SI1,38131,2.65,60.9,60.0,1322.0,5.16,5.22,3.16
0.53,Very Good,F,SI1,31128,4.29,62.5,57.0,1322.0,5.19,5.24,3.26
0.5,Ideal,I,VVS2,40340,0.87,61.8,57.0,1322.0,5.09,5.11,3.15
0.41,Ideal,F,VS2,40000,1.4,61.5,56.0,1322.0,4.79,4.83,2.96
0.56,Ideal,G,SI1,46016,3.68,61.2,59.0,1322.0,5.26,5.32,3.24
0.51,Ideal,F,SI1,48365,2.6,61.2,56.0,1322.0,5.19,5.21,3.18
0.54,Good,E,SI1,37494,3.82,57.2,59.0,1323.0,5.37,5.32,3.06
0.52,Very Good,D,SI1,42382,2.9,62.7,56.0,1323.0,5.08,5.13,3.2
0.7,premium,G,VS2,35704,3.21,62.5,61.0,2401.0,5.7,4.97,3.12
0.41,Ideal,F,VVS2,41358,3.89,61.4,57.0,1323.0,4.77,4.81,2.94
0.41,Ideal,F,VVS2,37962,2.07,61.2,56.0,1323.0,4.78,4.82,2.94
0.5,Fair,F,VS2,30920,3.37,64.6,58.0,1323.0,5.01,4.99,3.23
0.5,Fair,D,SI1,43573,1.21,65.1,58.0,1323.0,5.0,4.96,3.24
0.5,Fair,D,SI1,48616,3.58,64.6,58.0,1323.0,5.0,4.97,3.22
0.5,Fair,D,SI1,43982,3.46,65.7,56.0,1323.0,5.01,4.97,3.28
0.45,Premium,G,VVS1,30657,4.39,60.1,58.0,1323.0,4.97,4.95,2.98
0.45,Premium,G,VVS1,45126,2.91,60.8,58.0,1323.0,4.98,4.92,3.01
0.4,Premium,F,VVS1,35930,2.44,60.2,59.0,1323.0,4.76,4.74,2.86
0.4,Premium,F,VVS1,40739,1.94,60.8,59.0,1323.0,4.76,4.74,2.89
0.4,Premium,F,VVS1,30144,3.96,61.1,59.0,1323.0,4.78,4.75,2.91
0.4,Ideal,F,VVS1,45866,4.87,61.3,55.0,1323.0,4.78,4.75,2.92
0.4,Ideal,F,VVS1,30183,3.32,60.7,56.0,1323.0,4.79,4.77,2.9
0.4,Premium,F,VVS1,35811,3.37,61.9,57.0,1323.0,4.71,4.69,2.91
0.4,Ideal,F,VVS1,37235,3.11,61.7,56.0,1323.0,4.75,4.72,2.92
0.4,IDEAL,F,SI1,48770,0.98,62.5,57.0,2401.0,4.75,4.72,2.96
0.4,Ideal,F,VVS1,48027,4.07,61.3,56.0,1323.0,4.76,4.73,2.91
0.4,Premium,D,VVS2,41203,3.89,62.2,54.0,1323.0,4.77,4.75,2.96
0.7,Ideal,G,MAYBE,33886,4.62,61.8,56.0,2401.0,5.7,5.71,2.92
0.4,Premium,D,VVS2,35089,3.35,60.4,59.0,1323.0,4.77,4.76,2.88
0.4,Premium,D,VVS2,31160,3.97,60.8,59.0,1323.0,4.81,4.76,2.91
0.4,Ideal,D,VVS2,33280,0.97,62.0,56.0,1323.0,4.74,4.71,2.93
0.4,Ideal,D,VVS2,35600,2.35,62.2,55.0,1323.0,4.74,4.72,2.94
0.4,Ideal,D,VVS2,43290,1.77,61.9,56.0,1323.0,4.76,4.74,2.94
0.4,Premium,D,VVS2,37748,4.52,60.7,60.0,1323.0,4.78,4.74,2.89
0.5,Premium,F,VS2,34744,3.32,61.7,60.0,1323.0,5.06,5.02,3.11
0.5,Good,F,VS2,36672,4.34,64.0,57.0,1323.0,5.08,5.04,3.23
0.6,Premium,F,SI1,47730,0.92,62.9,59.0,1323.0,5.39,5.31,3.37
0.53,Premium,F,SI1,44367,2.29,61.4,58.0,1324.0,5.19,5.17,3.18
0.58,Ideal,J,VS2,41124,4.55,60.9,57.0,1324.0,5.38,5.4,3.28
0.58,Ideal,J,VS1,44527,4.62,61.9,58.0,1324.0,5.31,5.35,3.3
0.85,Fair,H,I1,38329,0.78,61.0,61.0,1324.0,6.2,6.0,3.73
0.85,Fair,H,I1,41032,1.41,66.7,59.0,1324.0,5.86,5.78,3.88
0.59,Very Good,E,SI2,35965,1.86,60.5,58.0,1325.0,5.43,5.51,3.31
0.52,Ideal,G,SI1,42615,0.64,62.4,55.0,1325.0,5.15,5.17,3.22
0.52,Very Good,F,SI1,43614,3.27,61.0,59.0,1326.0,5.18,5.21,3.17
0.53,Very Good,E,SI1,43198,3.43,63.3,56.0,1326.0,5.13,5.17,3.26
0.46,Ideal,D,VS2,43705,2.19,62.7,57.0,1326.0,4.89,4.93,3.08
0.46,VERY GOOD,TRUE,vs2,37146,2.01,61.8,57.0,2401.0,4.94,4.97,3.02
0.42,TRUE,MAYBE,VVS1,43294,4.64,61.8,58.0,1326.0,5.7,4.84,3.53
0.42,Ideal,F,VVS1,31100,4.77,61.3,56.0,1326.0,4.82,4.83,2.96
0.42,Ideal,D,VVS2,35639,4.17,62.6,56.0,1326.0,4.77,4.79,2.99
0.42,Ideal,F,VVS1,33854,4.55,62.0,55.0,1326.0,4.81,4.84,2.99
0.42,Ideal,D,VVS2,39898,3.3,62.1,55.0,1326.0,4.78,4.81,2.98
0.42,Ideal,D,VVS2,46402,4.13,62.5,57.0,1326.0,4.77,4.8,2.99
0.42,Ideal,D,VVS2,39753,3.46,62.1,55.0,1326.0,4.79,4.81,2.98
0.42,Ideal,D,VVS2,43642,3.22,61.4,56.0,1326.0,4.82,4.85,2.97
0.57,Ideal,I,VS2,40234,3.41,61.5,56.0,1326.0,5.32,5.35,3.28
0.7,MAYBE,MAYBE,MAYBE,45317,3.73,62.2,57.0,1327.0,5.7,4.97,3.53
0.55,Very Good,H,VS2,45781,0.66,60.2,59.0,1327.0,5.36,5.24,3.19
0.42,Ideal,E,VVS1,43782,2.82,62.0,55.0,1327.0,4.81,4.83,2.99
0.62,Ideal,G,SI2,34096,3.2,62.1,55.0,1327.0,5.46,5.49,3.4
0.54,Ideal,F,SI1,38872,0.62,61.5,55.0,1327.0,5.25,5.28,3.24
0.38,Ideal,E,VVS1,39972,3.61,61.9,56.0,1327.0,4.67,4.64,2.88
0.38,Ideal,E,VVS1,35155,0.87,62.4,56.0,1327.0,4.67,4.64,2.9
0.38,Ideal,E,VVS1,48246,2.02,62.6,56.0,1327.0,4.64,4.6,2.89
